cluster,sent_simple,trades_count,total_pnl,mean_pnl,median_pnl,win_rate
0,Fear,14377,1072323.9384040001,74.58607069652919,1.478147,0.5909438686791403
0,Greed,6193,697088.484514,112.56071120846117,10.35708,0.7208138220571613
1,Fear,51816,1359164.169408,26.230588416859657,0.0,0.36133626679018066
1,Greed,23311,1814087.2651150003,77.82108297005706,0.0,0.36832396722577326
2,Fear,5485,2551353.373991,465.15102534020053,0.0,0.4021877848678213
2,Greed,1208,67880.24794399989,56.19225823178799,0.0,0.12831125827814568
3,Fear,14352,649958.519923,45.286964877578036,0.0,0.41715440356744704
3,Greed,2656,103311.026975,38.89722401167169,0.0,0.2948042168674699
4,Fear,47841,1067125.1888479998,22.305662273949117,0.0,0.4214794841244957
4,Greed,9883,684215.002602,69.23150891449964,0.44505,0.5692603460487706
